recetteID,nom_recette,ingredient_1,ingredient_1_vegan,ingredient_2,ingredient_2_vegan,ingredient_3,ingredient_3_vegan,ingredient_4,ingredient_4_vegan,ingredient_5,ingredient_5_vegan,ingredient_6,ingredient_6_vegan,nom_recette_vegan_equivalente,ingredient_vegan_1,ingredient_vegan_1_vegan,ingredient_vegan_2,ingredient_vegan_2_vegan,ingredient_vegan_3,ingredient_vegan_3_vegan,ingredient_vegan_4,ingredient_vegan_4_vegan,ingredient_vegan_5,ingredient_vegan_5_vegan,ingredient_vegan_6,ingredient_vegan_6_vegan
177,Flammekueche,Pâte fine,Y,Crème fraîche,N,Lardons,N,Oignons,Y,Muscade,Y,Huile,Y,Flammekueche végane,Pâte fine,Y,Crème de soja,Y,Tempeh fumé,Y,Oignons,Y,Muscade,Y,Huile,Y
178,Choucroute de poisson,Choucroute,Y,Saumon,N,Cabillaud,N,Haddock,N,Vin blanc,Y,Genièvre,Y,Choucroute végane marine,Choucroute,Y,Tofu fumé,Y,Tempeh,Y,Algues,Y,Vin blanc,Y,Genièvre,Y
179,Brandade de légumes,Pommes de terre,Y,Courgettes,Y,Ail,Y,Huile d'olive,Y,Lait végétal,Y,Persil,Y,Brandade de légumes,Pommes de terre,Y,Courgettes,Y,Ail,Y,Huile d'olive,Y,Lait végétal,Y,Persil,Y
180,Gratin de courgettes,Courgettes,Y,Béchamel,N,Gruyère,N,Muscade,Y,Beurre,N,Chapelure,Y,Gratin végane courgettes,Courgettes,Y,Béchamel végane,Y,Fromage végétal,Y,Muscade,Y,Beurre végétal,Y,Chapelure,Y
181,Tian provençal,Tomates,Y,Courgettes,Y,Aubergines,Y,Oignons,Y,Herbes de Provence,Y,Huile d'olive,Y,Tian provençal,Tomates,Y,Courgettes,Y,Aubergines,Y,Oignons,Y,Herbes de Provence,Y,Huile d'olive,Y
182,Gratin de chou-fleur,Chou-fleur,Y,Béchamel,N,Gruyère,N,Muscade,Y,Beurre,N,Chapelure,Y,Gratin végane chou-fleur,Chou-fleur,Y,Béchamel végane,Y,Fromage végétal,Y,Muscade,Y,Beurre végétal,Y,Chapelure,Y
183,Endives au jambon,Endives,Y,Jambon,N,Béchamel,N,Gruyère,N,Muscade,Y,Beurre,N,Endives véganes,Endives,Y,Jambon végétal,Y,Béchamel végane,Y,Fromage végétal,Y,Muscade,Y,Beurre végétal,Y
184,Poireaux vinaigrette,Poireaux,Y,Moutarde,Y,Vinaigre,Y,Huile,Y,Échalotes,Y,Persil,Y,Poireaux vinaigrette,Poireaux,Y,Moutarde,Y,Vinaigre,Y,Huile,Y,Échalotes,Y,Persil,Y
185,Carottes Vichy,Carottes,Y,Beurre,N,Sucre,Y,Persil,Y,Eau de Vichy,Y,Sel,Y,Carottes Vichy véganes,Carottes,Y,Beurre végétal,Y,Sucre,Y,Persil,Y,Eau de Vichy,Y,Sel,Y
186,Épinards à la crème,Épinards,Y,Crème fraîche,N,Beurre,N,Muscade,Y,Ail,Y,Sel,Y,Épinards véganes à la crème,Épinards,Y,Crème de soja,Y,Beurre végétal,Y,Muscade,Y,Ail,Y,Sel,Y
187,Haricots verts amandine,Haricots verts,Y,Amandes effilées,Y,Beurre,N,Ail,Y,Persil,Y,Citron,Y,Haricots verts véganes,Haricots verts,Y,Amandes effilées,Y,Beurre végétal,Y,Ail,Y,Persil,Y,Citron,Y
188,Petits pois à la française,Petits pois,Y,Laitue,Y,Oignons grelots,Y,Beurre,N,Sucre,Y,Persil,Y,Petits pois véganes,Petits pois,Y,Laitue,Y,Oignons grelots,Y,Beurre végétal,Y,Sucre,Y,Persil,Y
189,Artichauts à la barigoule,Artichauts,Y,Carottes,Y,Lardons,N,Vin blanc,Y,Thym,Y,Huile d'olive,Y,Artichauts véganes barigoule,Artichauts,Y,Carottes,Y,Tempeh fumé,Y,Vin blanc,Y,Thym,Y,Huile d'olive,Y
190,Champignons à la grecque,Champignons,Y,Tomates,Y,Coriandre,Y,Citron,Y,Huile d'olive,Y,Vin blanc,Y,Champignons à la grecque,Champignons,Y,Tomates,Y,Coriandre,Y,Citron,Y,Huile d'olive,Y,Vin blanc,Y
191,Ratatouille niçoise,Aubergines,Y,Courgettes,Y,Tomates,Y,Poivrons,Y,Oignons,Y,Herbes de Provence,Y,Ratatouille niçoise,Aubergines,Y,Courgettes,Y,Tomates,Y,Poivrons,Y,Oignons,Y,Herbes de Provence,Y
192,Confit de légumes,Tomates,Y,Courgettes,Y,Aubergines,Y,Huile d'olive,Y,Thym,Y,Ail,Y,Confit de légumes,Tomates,Y,Courgettes,Y,Aubergines,Y,Huile d'olive,Y,Thym,Y,Ail,Y
193,Légumes farcis,Tomates,Y,Courgettes,Y,Farce,N,Riz,Y,Herbes,Y,Huile d'olive,Y,Légumes farcis véganes,Tomates,Y,Courgettes,Y,Farce végétale,Y,Riz,Y,Herbes,Y,Huile d'olive,Y
194,Gratin savoyard,Pommes de terre,Y,Reblochon,N,Crème fraîche,N,Lardons,N,Oignons,Y,Vin blanc,Y,Gratin savoyard végane,Pommes de terre,Y,Fromage végétal,Y,Crème de soja,Y,Tempeh fumé,Y,Oignons,Y,Vin blanc,Y
195,Fondue bourguignonne,Huile,Y,Bœuf,N,Sauces,Y,Cornichons,Y,Oignons,Y,Pain,Y,Fondue bourguignonne végane,Huile,Y,Seitan,Y,Sauces,Y,Cornichons,Y,Oignons,Y,Pain,Y
196,Raclette traditionnelle,Fromage à raclette,N,Pommes de terre,Y,Charcuterie,N,Cornichons,Y,Oignons,Y,Pain de seigle,Y,Raclette végane,Fromage végétal,Y,Pommes de terre,Y,Charcuterie végétale,Y,Cornichons,Y,Oignons,Y,Pain de seigle,Y
197,Pierrade,Viandes variées,N,Légumes,Y,Sauces,Y,Pain,Y,Huile,Y,Herbes,Y,Pierrade végane,Protéines végétales,Y,Légumes,Y,Sauces,Y,Pain,Y,Huile,Y,Herbes,Y
198,Gougères,Pâte à choux,Y,Gruyère,N,Œufs,N,Beurre,N,Muscade,Y,Poivre,Y,Gougères véganes,Pâte à choux végane,Y,Fromage végétal,Y,Aquafaba,Y,Beurre végétal,Y,Muscade,Y,Poivre,Y
199,Pissalat,Anchois,N,Oignons,Y,Huile d'olive,Y,Thym,Y,Ail,Y,Farine,Y,Pissalat végane,Algue nori,Y,Oignons,Y,Huile d'olive,Y,Thym,Y,Ail,Y,Farine,Y
200,Aïoli complet,Morue,N,Légumes,Y,Aïoli,N,Œufs durs,N,Escargots,N,Bulots,N,Aïoli végane complet,Tofu,Y,Légumes,Y,Aïoli végane,Y,Tofu dur,Y,Champignons,Y,Algues,Y
